Date,Color,Rig Number,Region
08-23-2020,Orange,810,West Texas
08-23-2020,Other,562,West Texas
08-30-2020,Orange,562,West Texas
08-30-2020,Orange,565,West Texas
08-30-2020,Orange,803,West Texas
08-30-2020,Orange,803,West Texas
08-30-2020,Orange,815,West Texas
08-30-2020,Red,803,West Texas
09-06-2020,Orange,256,West Texas
09-06-2020,Orange,257,West Texas
09-06-2020,Orange,288,West Texas
09-06-2020,Orange,565,West Texas
09-06-2020,Orange,565,West Texas
09-06-2020,Orange,566,West Texas
09-06-2020,Orange,803,West Texas
09-06-2020,Orange,803,West Texas
09-06-2020,Red,288,West Texas
09-13-2020,Orange,253,West Texas
09-13-2020,Orange,295,West Texas
09-13-2020,Orange,295,West Texas
09-13-2020,Orange,295,West Texas
09-13-2020,Orange,295,West Texas
09-13-2020,Orange,565,West Texas
09-13-2020,Orange,807,West Texas
09-13-2020,Orange,807,West Texas
09-13-2020,Orange,810,West Texas
09-13-2020,Orange,810,West Texas
09-13-2020,Orange,810,West Texas
09-13-2020,Red,253,West Texas
09-13-2020,Red,288,West Texas
09-13-2020,Red,815,West Texas
09-13-2020,Red,815,West Texas
09-20-2020,Orange,295,West Texas
09-20-2020,Orange,565,West Texas
09-20-2020,Orange,595,West Texas
09-20-2020,Orange,595,West Texas
09-20-2020,Orange,595,West Texas
09-20-2020,Orange,810,West Texas
09-20-2020,Orange,810,West Texas
09-20-2020,Orange,810,West Texas
09-20-2020,Orange,815,West Texas
09-27-2020,Orange,288,West Texas
09-27-2020,Orange,295,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,595,West Texas
09-27-2020,Orange,815,West Texas
09-27-2020,Red,815,West Texas
10-04-2020,Orange,288,West Texas
10-04-2020,Orange,288,West Texas
10-04-2020,Orange,295,West Texas
10-04-2020,Orange,565,West Texas
10-04-2020,Orange,575,West Texas
10-04-2020,Orange,595,West Texas
10-04-2020,Orange,595,West Texas
10-04-2020,Orange,595,West Texas
10-04-2020,Orange,595,West Texas
10-04-2020,Orange,803,West Texas
10-04-2020,Orange,807,West Texas
10-04-2020,Orange,807,West Texas
10-04-2020,Orange,815,West Texas
10-04-2020,Red,807,West Texas
10-04-2020,Red,807,West Texas
