Date,Color,Rig Number,Region
05-10-2022,Orange,591,East Texas
05-17-2022,Orange,238,East Texas
05-17-2022,Orange,238,East Texas
05-17-2022,Orange,238,East Texas
05-17-2022,Orange,269,East Texas
05-17-2022,Orange,586,East Texas
05-17-2022,Orange,591,East Texas
05-24-2022,Orange,221,East Texas
05-24-2022,Orange,279,East Texas
05-31-2022,Orange,269,East Texas
05-31-2022,Orange,279,East Texas
05-31-2022,Orange,586,East Texas
05-31-2022,Orange,587,East Texas
05-31-2022,Orange,587,East Texas
06-07-2022,Orange,586,East Texas
06-07-2022,Orange,586,East Texas
06-14-2022,Orange,221,East Texas
06-14-2022,Orange,269,East Texas
06-14-2022,Orange,279,East Texas
06-14-2022,Orange,586,East Texas
06-14-2022,Red,221,East Texas
06-14-2022,Red,587,East Texas
06-21-2022,Orange,271,East Texas
06-28-2022,Orange,271,East Texas
07-05-2022,Orange,238,East Texas
07-05-2022,Orange,238,East Texas
07-05-2022,Orange,238,East Texas
07-12-2022,Orange,238,East Texas
07-12-2022,Orange,238,East Texas
07-12-2022,Orange,279,East Texas
07-19-2022,Orange,238,East Texas
07-19-2022,Orange,238,East Texas
07-19-2022,Orange,279,East Texas
07-26-2022,Orange,221,East Texas
07-26-2022,Orange,238,East Texas
07-26-2022,Orange,238,East Texas
07-26-2022,Orange,238,East Texas
07-26-2022,Orange,587,East Texas
07-26-2022,Orange,591,East Texas
07-26-2022,Red,238,East Texas
07-26-2022,Red,238,East Texas
08-02-2022,Orange,238,East Texas
08-02-2022,Orange,238,East Texas
08-09-2022,Orange,238,East Texas
08-09-2022,Orange,279,East Texas
08-09-2022,Orange,570,East Texas
08-16-2022,Orange,271,East Texas
08-16-2022,Orange,586,East Texas
08-30-2022,Orange,269,East Texas
08-30-2022,Orange,586,East Texas
08-30-2022,Orange,586,East Texas
09-06-2022,Orange,269,East Texas
09-06-2022,Orange,570,East Texas
09-06-2022,Orange,591,East Texas
09-13-2022,Orange,221,East Texas
09-13-2022,Orange,561,East Texas
09-13-2022,Orange,586,East Texas
09-20-2022,Orange,221,East Texas
09-20-2022,Orange,561,East Texas
09-20-2022,Orange,587,East Texas
09-27-2022,Orange,221,East Texas
09-27-2022,Orange,236,East Texas
09-27-2022,Orange,238,East Texas
09-27-2022,Orange,238,East Texas
09-27-2022,Orange,238,East Texas
09-27-2022,Orange,246,East Texas
09-27-2022,Orange,246,East Texas
09-27-2022,Orange,246,East Texas
09-27-2022,Orange,279,East Texas
09-27-2022,Orange,587,East Texas
10-04-2022,Orange,246,East Texas
10-04-2022,Orange,570,East Texas
10-04-2022,Orange,570,East Texas
10-04-2022,Orange,587,East Texas
10-11-2022,Orange,238,East Texas
10-11-2022,Orange,238,East Texas
10-11-2022,Orange,271,East Texas
10-11-2022,Orange,279,East Texas
10-18-2022,Orange,570,East Texas
10-18-2022,Orange,586,East Texas
10-18-2022,Orange,587,East Texas
10-18-2022,Orange,587,East Texas
10-18-2022,Orange,591,East Texas
10-25-2022,Orange,236,East Texas
10-25-2022,Orange,269,East Texas
11-01-2022,Orange,269,East Texas
11-01-2022,Orange,570,East Texas
11-01-2022,Orange,570,East Texas
11-01-2022,Orange,570,East Texas
11-01-2022,Orange,587,East Texas
11-01-2022,Orange,587,East Texas
11-08-2022,Orange,586,East Texas
11-08-2022,Orange,591,East Texas
11-15-2022,Orange,269,East Texas
11-15-2022,Orange,279,East Texas
11-15-2022,Orange,586,East Texas
11-15-2022,Orange,587,East Texas
11-22-2022,Orange,221,East Texas
11-22-2022,Orange,585,East Texas
11-22-2022,Orange,586,East Texas
11-29-2022,Orange,238,East Texas
11-29-2022,Orange,238,East Texas
11-29-2022,Orange,279,East Texas
11-29-2022,Orange,570,East Texas
11-29-2022,Orange,585,East Texas
11-29-2022,Orange,591,East Texas
12-06-2022,Orange,238,East Texas
12-06-2022,Orange,586,East Texas
12-13-2022,Orange,561,East Texas
12-20-2022,Orange,236,East Texas
12-20-2022,Orange,246,East Texas
12-20-2022,Orange,246,East Texas
12-20-2022,Orange,246,East Texas
12-20-2022,Orange,591,East Texas
12-27-2022,Orange,271,East Texas
01-03-2023,Orange,246,East Texas
01-03-2023,Orange,246,East Texas
01-03-2023,Orange,271,East Texas
01-03-2023,Orange,279,East Texas
01-10-2023,Orange,246,East Texas
01-10-2023,Orange,586,East Texas
01-10-2023,Orange,587,East Texas
01-10-2023,Orange,591,East Texas
01-17-2023,Orange,269,East Texas
01-17-2023,Orange,269,East Texas
01-17-2023,Orange,271,East Texas
01-17-2023,Orange,279,East Texas
01-17-2023,Orange,587,East Texas
01-24-2023,Orange,221,East Texas
01-24-2023,Orange,269,East Texas
01-24-2023,Orange,586,East Texas
01-24-2023,Orange,587,East Texas
01-31-2023,Orange,236,East Texas
01-31-2023,Orange,561,East Texas
01-31-2023,Orange,591,East Texas
02-07-2023,Orange,221,East Texas
02-07-2023,Orange,586,East Texas
02-07-2023,Orange,586,East Texas
02-14-2023,Orange,221,East Texas
02-14-2023,Orange,329,East Texas
02-14-2023,Orange,329,East Texas
02-14-2023,Orange,591,East Texas
02-21-2023,Orange,279,East Texas
02-21-2023,Orange,585,East Texas
02-21-2023,Orange,591,East Texas
02-28-2023,Orange,279,East Texas
03-07-2023,Orange,221,East Texas
03-07-2023,Orange,236,East Texas
03-07-2023,Orange,269,East Texas
03-14-2023,Orange,221,East Texas
03-28-2023,Orange,221,East Texas
03-28-2023,Orange,585,East Texas
03-28-2023,Orange,591,East Texas
03-28-2023,Orange,591,East Texas
04-04-2023,Orange,269,East Texas
04-04-2023,Orange,279,East Texas
04-04-2023,Orange,587,East Texas
04-04-2023,Orange,587,East Texas
04-04-2023,Orange,587,East Texas
04-11-2023,Orange,236,East Texas
04-11-2023,Orange,587,East Texas
04-11-2023,Orange,587,East Texas
04-11-2023,Orange,587,East Texas
04-18-2023,Orange,269,East Texas
04-18-2023,Orange,279,East Texas
04-18-2023,Orange,561,East Texas
04-18-2023,Orange,585,East Texas
04-18-2023,Orange,585,East Texas
04-18-2023,Orange,587,East Texas
04-25-2023,Orange,586,East Texas
04-25-2023,Orange,586,East Texas
04-25-2023,Orange,587,East Texas
05-02-2023,Orange,221,East Texas
05-09-2023,Orange,221,East Texas
05-09-2023,Orange,329,East Texas
05-09-2023,Orange,586,East Texas
05-16-2023,Orange,329,East Texas
05-16-2023,Orange,561,East Texas
05-16-2023,Orange,591,East Texas
05-23-2023,Orange,585,East Texas
05-30-2023,Orange,236,East Texas
05-30-2023,Orange,591,East Texas
05-30-2023,Orange,591,East Texas
06-06-2023,Orange,236,East Texas
06-06-2023,Orange,279,East Texas
06-06-2023,Orange,587,East Texas
06-06-2023,Orange,587,East Texas
06-06-2023,Orange,587,East Texas
06-06-2023,Orange,591,East Texas
06-13-2023,Orange,591,East Texas
06-20-2023,Orange,585,East Texas
06-27-2023,Orange,236,East Texas
06-27-2023,Orange,279,East Texas
06-27-2023,Orange,329,East Texas
06-27-2023,Orange,586,East Texas
06-27-2023,Orange,587,East Texas
06-27-2023,Orange,587,East Texas
07-04-2023,Orange,236,East Texas
07-04-2023,Orange,586,East Texas
07-04-2023,Orange,587,East Texas
07-18-2023,Orange,561,East Texas
07-18-2023,Orange,585,East Texas
07-18-2023,Orange,586,East Texas
07-25-2023,Orange,269,East Texas
07-25-2023,Red,587,East Texas
08-01-2023,Orange,269,East Texas
08-01-2023,Orange,586,East Texas
08-08-2023,Orange,221,East Texas
08-08-2023,Orange,269,East Texas
08-08-2023,Orange,561,East Texas
08-15-2023,Orange,279,East Texas
08-15-2023,Orange,279,East Texas
08-15-2023,Orange,561,East Texas
08-15-2023,Orange,587,East Texas
08-15-2023,Orange,591,East Texas
08-29-2023,Orange,221,East Texas
08-29-2023,Orange,221,East Texas
08-29-2023,Orange,570,East Texas
08-29-2023,Orange,591,East Texas
08-29-2023,Orange,591,East Texas
08-29-2023,Red,221,East Texas
09-05-2023,Orange,585,East Texas
09-05-2023,Orange,585,East Texas
09-12-2023,Orange,279,East Texas
09-12-2023,Orange,585,East Texas
09-12-2023,Orange,585,East Texas
09-12-2023,Orange,587,East Texas
09-19-2023,Orange,585,East Texas
09-26-2023,Orange,585,East Texas
09-26-2023,Orange,586,East Texas
09-26-2023,Orange,587,East Texas
